2025-10-23T06:47:41.379Z, d48c49fa8cc0, 4.05v - 84%, 0.8360512
2025-10-23T07:01:11.927Z, d48c49fa8cc0, 4.06v - 84%, 0.8438178
2025-10-23T11:59:05.433Z, d48c49fa8cc0, 4.05v - 83%, 0.8341094
2025-10-23T12:01:18.820Z, d48c49fa8cc0, 4.03v - 82%, 0.8166344
2025-10-23T14:00:13.158Z, d48c49fa8cc0, 4.06v - 84%, 0.841876
2025-10-24T06:49:01.115Z, d48c49fa8cc0, 4.05v - 83%, 0.8341094
2025-10-24T07:01:13.779Z, d48c49fa8cc0, 4.04v - 82%, 0.8185761
2025-10-24T11:58:43.410Z, d48c49fa8cc0, 4.03v - 81%, 0.8146926
2025-10-24T12:01:18.526Z, d48c49fa8cc0, 4.03v - 82%, 0.8166344
2025-10-24T14:00:15.207Z, d48c49fa8cc0, 4.05v - 83%, 0.8302258
2025-10-27T06:15:05.190Z, d48c49fa8cc0, 4.06v - 85%, 0.8496427
2025-10-27T07:01:32.374Z, d48c49fa8cc0, 4.06v - 84%, 0.8438178
2025-10-27T11:58:55.447Z, d48c49fa8cc0, 4.07v - 86%, 0.8554674
2025-10-27T12:01:18.782Z, d48c49fa8cc0, 4.04v - 83%, 0.8263428
2025-10-27T14:00:07.413Z, d48c49fa8cc0, 4.04v - 82%, 0.8185761
2025-10-28T06:49:46.431Z, d48c49fa8cc0, 4.07v - 85%, 0.8515844
2025-10-28T07:01:14.093Z, d48c49fa8cc0, 4.06v - 84%, 0.8438178
2025-10-28T11:59:13.433Z, d48c49fa8cc0, 4.05v - 84%, 0.8379925
2025-10-28T12:01:18.934Z, d48c49fa8cc0, 4.03v - 82%, 0.8166344
2025-10-28T14:00:16.324Z, d48c49fa8cc0, 4.07v - 85%, 0.8515844
2025-10-29T06:50:28.861Z, d48c49fa8cc0, 4.05v - 83%, 0.8341094
2025-10-29T07:01:14.149Z, d48c49fa8cc0, 4.03v - 81%, 0.8127508
2025-10-29T11:59:37.791Z, d48c49fa8cc0, 4.05v - 83%, 0.8282845
2025-10-29T12:01:19.610Z, d48c49fa8cc0, 4.06v - 84%, 0.841876
2025-10-29T14:00:12.929Z, d48c49fa8cc0, 4.06v - 85%, 0.8496427
2025-10-30T06:48:41.646Z, d48c49fa8cc0, 4.04v - 83%, 0.8263428
2025-10-30T07:01:13.116Z, d48c49fa8cc0, 4.03v - 81%, 0.8146926
2025-10-30T11:58:54.550Z, d48c49fa8cc0, 4.05v - 83%, 0.8321676
2025-10-30T12:01:18.973Z, d48c49fa8cc0, 4.05v - 84%, 0.8379925
2025-10-30T14:00:20.302Z, d48c49fa8cc0, 4.05v - 84%, 0.8379925
2025-10-31T06:47:34.687Z, d48c49fa8cc0, 4.05v - 83%, 0.8321676
2025-10-31T07:01:12.589Z, d48c49fa8cc0, 4.03v - 81%, 0.8088677
2025-10-31T11:59:52.199Z, d48c49fa8cc0, 4.05v - 83%, 0.8321676
2025-10-31T12:01:20.075Z, d48c49fa8cc0, 4.03v - 82%, 0.8166344
2025-10-31T14:00:04.719Z, d48c49fa8cc0, 4.06v - 84%, 0.841876
2025-11-03T06:21:02.018Z, d48c49fa8cc0, 4.05v - 83%, 0.8302258
2025-11-03T07:01:37.799Z, d48c49fa8cc0, 4.03v - 81%, 0.806926
2025-11-03T11:59:15.113Z, d48c49fa8cc0, 4.06v - 85%, 0.8477009
2025-11-03T12:01:19.696Z, d48c49fa8cc0, 4.05v - 83%, 0.8341094
2025-11-03T14:00:11.170Z, d48c49fa8cc0, 4.03v - 81%, 0.806926
2025-11-04T06:49:54.097Z, d48c49fa8cc0, 4.03v - 81%, 0.8108095
2025-11-04T07:01:14.411Z, d48c49fa8cc0, 4.02v - 80%, 0.7991593
2025-11-04T11:58:56.458Z, d48c49fa8cc0, 4.05v - 84%, 0.8379925
2025-11-04T12:01:19.068Z, d48c49fa8cc0, 4.03v - 81%, 0.806926
